ModelYear,Manufcaturer,VehicleNameEn,FuelEconomy,Grade,FuelTypeEn,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,8.7,Very Poor,Gasoline ,
2015,Ford,F150,9.1,Very Poor,Gasoline ,
2015,Ford,F150,9.1,Very Poor,Gasoline ,
2015,Ford,F150,9.1,Very Poor,Gasoline ,
2015,Ford,F150,9.1,Very Poor,Gasoline ,
2015,Ford,Taurus ,9.5,Very Poor,Gasoline ,
2015,Ford,Taurus SHO,9.5,Very Poor,Gasoline ,
2015,Lincoln,MKS ,9.5,Very Poor,Gasoline ,
2015,Lincoln,MKT ,9.5,Very Poor,Gasoline ,
2015,Ford,F150,9.5,Very Poor,Gasoline ,
2015,Ford,F150,9.5,Very Poor,Gasoline ,
2015,Ford,F150,9.5,Very Poor,Gasoline ,
2015,Ford,F150,9.5,Very Poor,Gasoline ,
2015,Ford,F150,9.5,Very Poor,Gasoline ,
2015,Toyota,Hiace ,9.6,Very Poor,Gasoline ,
2015,Toyota,Hiace ,9.7,Very Poor,Gasoline ,
2015,Toyota,Hiace ,9.7,Very Poor,Gasoline ,
2015,Lincoln,MKT ,9.7,Very Poor,Gasoline ,
2015,Ford,Flex ,10.1,Poor,Gasoline ,
2015,Infiniti,QX50 ,10.3,Very Poor,Gasoline ,
2015,Honda,Odyssey ,10.6,Very Poor,Gasoline ,
2015,Ford,Taurus ,10.7,Very Poor,Gasoline ,
2015,Ford,Taurus ,10.7,Very Poor,Gasoline ,
2015,Ford,Edge ,10.9,Average,Gasoline ,
2015,Nissan,Pathfinder ,11,Average,Gasoline ,
2015,Ford,Edge ,11,Average,Gasoline ,
2015,Ford,Edge,11.5,Very Poor,Gasoline ,
2015,Ford,Edge ,11.9,Very Poor,Gasoline ,
2015,Toyota,Avalon ,12,Very Poor,Gasoline ,
2015,Toyota,Hiace ,12.7,Excellent,Diesel,
2015,Toyota,Hiace ,12.7,Excellent,Diesel,
2015,Ford,Edge ,12.8,Excellent,Gasoline ,
2015,Ford,Edge ,13.3,Average,Gasoline ,
2016,Bentley,Mulsanne Speed ,7.1,Very Poor,Gasoline ,
2016,Nissan,Patrol ,7.1,Very Poor,Gasoline ,
2016,Bentley,Continental GT ,7.3,Very Poor,Gasoline ,
2016,Bentley,Continental GT Convertible,7.3,Very Poor,Gasoline ,
2016,Lamborghini,Aventador,7.4,Very Poor,Gasoline ,
2016,Lamborghini,Aventador SV,7.4,Very Poor,Gasoline ,
2016,Lamborghini,Aventador Roadster,7.4,Very Poor,Gasoline ,
2016,Lamborghini,Aventador SV Roadster,7.4,Very Poor,Gasoline ,
2016,Nissan,Patrol ,7.4,Very Poor,Gasoline ,
2016,Nissan,Patrol_4WD ,7.8,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Nissan,Patrol ,7.9,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,7.9,Very Poor,Gasoline ,
2016,Rolls-Royce,Phantom (FJ61),8,Very Poor,Gasoline ,
2016,Nissan,Patrol ,8,Very Poor,Gasoline ,
2016,Toyota,Sequoia ,8.1,Very Poor,Gasoline ,
2016,Toyota,Sequoia ,8.1,Very Poor,Gasoline ,
2016,Jeep,Grand Cherokee SRT,8.1,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,8.2,Very Poor,Gasoline ,
2016,Infiniti,QX80 ,8.2,Very Poor,Gasoline ,
2016,Rolls-Royce,Ghost (FK41),8.3,Very Poor,Gasoline ,
2016,Lexus,LX570 ,8.3,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,8.3,Very Poor,Gasoline ,
2016,Rolls-Royce,Dawn (XZ81),8.3,Very Poor,Gasoline ,
2016,Dodge,CHALLENGER HELLCAT SRT ,8.4,Very Poor,Gasoline ,
2016,Mitsubishi,Pajero ,8.5,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,8.5,Very Poor,Gasoline ,
2016,Dodge,CHALLENGER HELLCAT SRT,8.5,Very Poor,Gasoline ,
2016,Dodge,Charger Hellcat SRT ,8.5,Very Poor,Gasoline ,
2016,Mitsubishi,Pajero ,8.6,Very Poor,Gasoline ,
2016,Porsche,911 Carrera R,8.7,Very Poor,Gasoline ,
2016,Toyota,FJ Cruiser ,8.8,Very Poor,Gasoline ,
2016,Chevrolet,Corvette ,8.8,Very Poor,Gasoline ,
2016,Chevrolet,Corvette ,8.8,Very Poor,Gasoline ,
2016,Chevrolet,Corvette ,8.8,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser Prado ,8.9,Very Poor,Gasoline ,
2016,GMC,Yukon XL ,9,Very Poor,Gasoline ,
2016,Ford,Mustang Shelby GT350,9,Very Poor,Gasoline ,
2016,Mitsubishi,Pajero ,9.1,Very Poor,Gasoline ,
2016,Land Rover,Range Rover ,9.1,Very Poor,Gasoline ,
2016,Land Rover,Range Rover ,9.1,Very Poor,Gasoline ,
2016,Toyota,Land Cruiser ,9.1,Very Poor,Gasoline ,
2016,Lincoln,Navigator ,9.1,Very Poor,Gasoline ,
2016,Lincoln,Navigator L,9.1,Very Poor,Gasoline ,
2016,Cadillac,CTS-V,9.1,Very Poor,Gasoline ,
